"Price - 0","TxGrowth - 0","AddressCount - 0","BlockTime - 0","AvgGasPrice - 0","NetworkHash - 0","TransactionFee - 0","BlockReward - 0","count - 0","likes_avg - 0","retweets_avg - 0","sentiment_avg - 0","Date(UTC)","Price_real (+1 day)","Price_predicted (+1 day)","Support Prediction","Contradict Prediction"
130.6,0.34495807012066937,0.9177018266235455,0.24512055109070036,0.004658912709283792,0.49797648796901445,0.0503073077492536,0.0,422.0,127.35308056872036,272.8696682464455,0.19383909952606632,1/1/20 12:00 AM,127.18,129.88112942458434,"Price - 0 = 130.600 (0.998); BlockReward - 0 = 0 (0.067); AddressCount - 0 = 0.918 (0.038)","likes_avg - 0 = 127.353 (-0.061); count - 0 = 422 (-0.060); AvgGasPrice - 0 = 0.005 (-0.046)"
127.18,0.373961578304578,0.9183513357568707,0.1188289322617681,0.0034814230511446094,0.5187181182235576,0.048556835318417535,0.05909428606806427,335.0,41.34328358208956,1009.3641791044777,0.210104776119403,1/2/20 12:00 AM,134.25,127.49922376715399,"Price - 0 = 127.180 (0.998); BlockReward - 0 = 0.059 (0.067); AddressCount - 0 = 0.918 (0.038)","likes_avg - 0 = 41.343 (-0.061); count - 0 = 335 (-0.060); AvgGasPrice - 0 = 0.003 (-0.046)"
134.25,0.4303194293769433,0.9191950579670691,0.008610792192881665,0.004477476783332966,0.5335775947521026,0.05741876634873441,0.12759670060673023,417.0,68.72422062350121,1419.8129496402878,0.23806690647482015,1/3/20 12:00 AM,134.33,135.96780837832432,"Price - 0 = 134.250 (0.998); BlockReward - 0 = 0.128 (0.067); AddressCount - 0 = 0.919 (0.038)","likes_avg - 0 = 68.724 (-0.061); count - 0 = 417 (-0.060); AvgGasPrice - 0 = 0.004 (-0.046)"
134.33,0.4135852957337488,0.9199824985549453,0.0040183696900114975,0.0025147414585302576,0.5612629590989422,0.04614655281362364,0.13029460229166864,372.0,32.70967741935484,252.94623655913975,0.17641075268817202,1/4/20 12:00 AM,135.44,133.7951871425936,"Price - 0 = 134.330 (0.998); BlockReward - 0 = 0.130 (0.067); AddressCount - 0 = 0.920 (0.038)","likes_avg - 0 = 32.710 (-0.061); count - 0 = 372 (-0.060); AvgGasPrice - 0 = 0.003 (-0.046)"
135.44,0.388069208586041,0.9206957011068606,0.014925373134328348,0.0026209722399362523,0.5433704746228301,0.044746036513403295,0.12273190524721637,266.0,62.14661654135338,271.2894736842105,0.09283233082706767,1/5/20 12:00 AM,144.28,134.51904782487725,"Price - 0 = 135.440 (0.998); BlockReward - 0 = 0.123 (0.067); AddressCount - 0 = 0.921 (0.038)","likes_avg - 0 = 62.147 (-0.061); count - 0 = 266 (-0.060); AvgGasPrice - 0 = 0.003 (-0.046)"
144.28,0.4636023138738255,0.9214546188322216,0.0,0.00394425908052753,0.5523456356136822,0.061400346731189284,0.13302345960052958,327.0,51.357798165137616,136.99694189602442,0.1746113149847095,1/6/20 12:00 AM,143.18,144.51236278276903,"Price - 0 = 144.280 (0.998); BlockReward - 0 = 0.133 (0.067); AddressCount - 0 = 0.921 (0.038)","likes_avg - 0 = 51.358 (-0.061); count - 0 = 327 (-0.060); AvgGasPrice - 0 = 0.004 (-0.046)"
143.18,0.47839808506993753,0.9222405312146817,0.007462686567164123,0.0033855904115059465,0.5648115180629357,0.059058905416811955,0.1261846479154959,430.0,60.3860465116279,69.51627906976744,0.19597232558139532,1/7/20 12:00 AM,140.66,143.29338442428573,"Price - 0 = 143.180 (0.998); BlockReward - 0 = 0.126 (0.067); AddressCount - 0 = 0.922 (0.038)","likes_avg - 0 = 60.386 (-0.061); count - 0 = 430 (-0.060); AvgGasPrice - 0 = 0.003 (-0.046)"
140.66,0.48385056367490975,0.9229727599240268,0.008036739380022894,0.004378049726291094,0.5535164221203924,0.07143516908128425,0.1258631856670699,369.0,86.56097560975608,233.96747967479675,0.1698257452574526,1/8/20 12:00 AM,137.9,141.28590174575828,"Price - 0 = 140.660 (0.998); BlockReward - 0 = 0.126 (0.067); AddressCount - 0 = 0.923 (0.038)","likes_avg - 0 = 86.561 (-0.061); count - 0 = 369 (-0.060); AvgGasPrice - 0 = 0.004 (-0.046)"
137.9,0.45980122515777927,0.9238004687246157,0.008036739380022894,0.003819432447018944,0.5398213619375611,0.05809250441924334,0.12607749383268724,322.0,48.490683229813655,71.93167701863355,0.2025229813664597,1/9/20 12:00 AM,144.88,138.33441261304188,"Price - 0 = 137.900 (0.998); BlockReward - 0 = 0.126 (0.067); AddressCount - 0 = 0.924 (0.038)","likes_avg - 0 = 48.491 (-0.061); count - 0 = 322 (-0.060); AvgGasPrice - 0 = 0.004 (-0.046)"
144.88,0.4477113011573077,0.9249470266695096,0.0063145809414465815,0.005360966493746427,0.5592990439400796,0.06930674389046715,0.12849203249864272,281.0,41.13523131672598,207.1850533807829,0.23016298932384344,1/10/20 12:00 AM,142.69,145.20475469127786,"Price - 0 = 144.880 (0.998); BlockReward - 0 = 0.128 (0.067); AddressCount - 0 = 0.925 (0.038)","likes_avg - 0 = 41.135 (-0.061); count - 0 = 281 (-0.060); AvgGasPrice - 0 = 0.005 (-0.046)"
