window size,Add LSTM Layer.neurons,Add LSTM Layer.gate_activation,Deep Learning (Tensor).updater,Deep Learning (Tensor).learning_rate,Deep Learning (Tensor).use_regularization,rmse,absolute error (mae),relative error (mape),correlation
1,8,TanH,Adam,0.03,FALSE,27.77357158,21.79920365,0.136409647,0.928421961
3,8,Sigmoid,RMSProp,0.01,TRUE,28.02741714,22.86072348,0.126552218,0.939918975
3,8,Sigmoid,RMSProp,0.1,TRUE,28.1104217,21.39567431,0.122255149,0.880985494
3,21,Sigmoid,RMSProp,0.01,FALSE,28.23226685,22.50143772,0.139805129,0.919148674
1,64,TanH,RMSProp,0.03,TRUE,28.29046784,21.80052181,0.129698088,0.865733437
3,21,Sigmoid,Adam,0.1,TRUE,28.35450575,22.44743489,0.115446686,0.936133801
2,8,Sigmoid,RMSProp,0.01,FALSE,28.44980956,23.42728173,0.132794804,0.937082663
3,64,Sigmoid,RMSProp,0.001,TRUE,29.03362714,22.08500723,0.141228824,0.893110964
3,64,Sigmoid,Adam,0.1,TRUE,29.33826272,22.15939105,0.136963526,0.839863586
2,8,Sigmoid,Adam,0.1,FALSE,29.42636928,23.94849116,0.140623816,0.89078235
1,21,Sigmoid,RMSProp,0.001,FALSE,29.48243527,24.69895163,0.135546938,0.871877119
3,21,Sigmoid,Adam,0.03,TRUE,29.4955204,24.17680753,0.130131224,0.889196263
1,64,TanH,RMSProp,0.01,TRUE,29.53810929,24.46799055,0.134553549,0.916776157
3,21,Sigmoid,RMSProp,0.03,TRUE,29.74442187,23.83868872,0.129989315,0.909475015
1,8,ReLU (Rectified Linear Unit),RMSProp,0.03,FALSE,29.78577038,20.60460592,0.120044585,0.835887735
3,8,Sigmoid,RMSProp,0.03,TRUE,30.10914767,23.36837806,0.114287143,0.943906588
3,21,Sigmoid,Adam,0.003,TRUE,30.12259738,23.85569509,0.139448519,0.869910157
2,64,Sigmoid,Adam,0.001,TRUE,30.35858713,24.59902886,0.142369389,0.827656459
3,8,Sigmoid,Adam,0.03,FALSE,30.44511576,23.95744102,0.127786423,0.897144905
3,8,Sigmoid,RMSProp,0.003,TRUE,30.45018589,24.16470254,0.147428574,0.892882819
1,8,TanH,Adam,0.03,TRUE,31.31443622,26.92035215,0.145878361,0.896853109
3,21,Sigmoid,RMSProp,0.03,FALSE,32.18633622,26.03379714,0.15519333,0.836947753
1,64,TanH,Adam,0.003,TRUE,32.39599672,25.5330472,0.149005132,0.803366268
1,21,TanH,RMSProp,0.03,TRUE,33.00388923,24.93125715,0.158695477,0.810645437
1,21,TanH,RMSProp,0.001,FALSE,33.02486432,27.17898075,0.166087783,0.805760099
