,TxGrowth,AddressCount,BlockTime,AvgGasPrice,NetworkHash,TransactionFee,BlockReward,count,likes_avg,retweets_avg,sentiment_avg,PriceChange
2019-06-23,0.5725881142936804,0.7461298880073217,0.018943742824339846,0.005989672706469538,0.5483923243139235,0.06771968702890359,0.12778481555210547,145.0,174.24137931034485,2733.193103448276,0.2207675862068966,0
2019-06-24,0.5993855672824588,0.7474266794603658,0.012055109070034391,0.007533473122775938,0.5614396850921797,0.08093603972008456,0.1286634790311366,199.0,98.28140703517587,55.562814070351756,0.2022386934673367,1
2019-06-25,0.6902654014167694,0.7484941964379911,0.01607347876004589,0.011930178414709067,0.5643343147801798,0.12208590497242146,0.12710379182581033,170.0,117.2764705882353,817.1,0.2045088235294118,1
2019-06-26,0.6282785873238215,0.7496913707294149,0.015499425947187118,0.011698143518683946,0.5894066464556756,0.11922406237407186,0.12817295145205687,278.0,148.0935251798561,42.47841726618705,0.2121467625899281,1
2019-06-27,0.6027083684015777,0.7509134547691203,0.02123995407577493,0.01417609703796576,0.5830812402009653,0.13118284287076218,0.1252655040051815,195.0,94.66153846153844,97.06666666666666,0.23804717948717946,0
2019-06-28,0.7436378480469181,0.7519127264591663,0.018369690011481074,0.011280223158980055,0.5743411856127083,0.12750662956222616,0.12706331139452703,237.0,150.38396624472574,590.2658227848101,0.2061632911392405,1
2019-06-29,0.5428067399250015,0.7529250315582605,0.01664753157290466,0.008204396246887732,0.5901324837748942,0.08115750825592845,0.1267466115497814,119.0,105.08403361344537,44.058823529411775,0.15008655462184872,1
2019-06-30,0.5076737351888421,0.7536958583701137,0.01664753157290466,0.00946824295772125,0.589424627523048,0.07960122174033085,0.12688710245835277,87.0,71.0,168.48275862068962,0.2613827586206896,0
2019-07-01,0.7049410445652811,0.7545463920101666,0.015499425947187118,0.013077258574508298,0.5826754737236702,0.13279006477156188,0.12604177580508436,168.0,81.14285714285714,30.66666666666667,0.30229285714285714,1
2019-07-02,0.662724934207648,0.7554857362163977,0.020665901262916158,0.009026554370691397,0.5918347930129852,0.09918000784678205,0.12703711817428492,202.0,132.86138613861382,33.7970297029703,0.2780024752475247,0
2019-07-03,0.5575557946581579,0.756642926104686,0.0177956371986222,0.006606945155285148,0.5723677720042765,0.07033826946119533,0.12357008829496423,173.0,81.65895953757227,48.58959537572255,0.2173832369942197,1
2019-07-04,0.5533194271523498,0.7577163921676809,0.018369690011481074,0.005409843713600785,0.5707700204198716,0.06365053199031752,0.1267156559258589,125.0,126.52,202.92,0.2252248,0
2019-07-05,0.6286337807485164,0.7585718269808182,0.020091848450057386,0.008223565216603553,0.571142728587669,0.08799477133842305,0.12280334130242215,189.0,84.19576719576719,74.66666666666667,0.21308042328042331,1
2019-07-06,0.5581586594896337,0.7595731944954347,0.008610792192881665,0.007316918868262478,0.5891772983486873,0.07742001324270692,0.13257579365457334,123.0,122.55284552845528,177.8861788617886,0.21831626016260167,1
2019-07-07,0.43063532165026275,0.7607190320006323,0.009758897818599309,0.004104502459051844,0.5811034901233516,0.04899985423690749,0.1290587585366086,104.0,62.009615384615394,117.18269230769229,0.26018942307692305,1
2019-07-08,0.5995034707365852,0.7616857419995635,0.010907003444316849,0.008663714566453939,0.576831825937421,0.09015364937014045,0.1279062568459553,207.0,73.96135265700484,151.5072463768116,0.25117246376811586,1
2019-07-09,0.5714431901856868,0.7626732246764001,0.008036739380022894,0.006503068024188655,0.589823263233199,0.07454203728827885,0.12831820476430864,244.0,54.47131147540984,34.139344262295076,0.2415012295081968,0
2019-07-10,0.5448526243899979,0.7637034425261209,0.01722158438576343,0.005369399607513627,0.5920298225706015,0.06316242730453868,0.12612749907133128,276.0,110.9855072463768,47.69202898550725,0.27503768115942034,0
2019-07-11,0.7222209451407834,0.7645364345511482,0.014925373134328348,0.011120036956097356,0.6058125312873437,0.12399887640640009,0.1287944451323472,300.0,191.42666666666668,175.64,0.20252099999999995,0
2019-07-12,0.5376568060325043,0.7656533125637118,0.028128587830080383,0.00704496057392066,0.6059963194241482,0.07111690910403962,0.1215365419234396,271.0,180.62361623616238,189.13284132841332,0.2485848708487085,1
2019-07-13,0.43450314817053143,0.7665910084912442,0.01607347876004589,0.004676645421905189,0.6038982093395293,0.05209807233866635,0.12751097734048328,176.0,97.0056818181818,101.88636363636364,0.22395909090909102,0
2019-07-14,0.45393645522894405,0.7674735252875042,0.0063145809414465815,0.007784149117567336,0.6151079696669444,0.06836082051435713,0.1324543523607235,109.0,74.56880733944953,201.6605504587156,0.22493761467889906,0
2019-07-15,0.550190165665476,0.7686430718081566,0.024684270952927655,0.007622442486481691,0.6083542556111537,0.08402569267046003,0.12182704854794311,182.0,197.9945054945055,372.70329670329664,0.23153956043956045,1
2019-07-16,0.7429764022539581,0.7693311899597428,0.02755453501722151,0.01587718454009023,0.5907413544046666,0.1726003445855278,0.1234796026250369,332.0,92.9156626506024,236.15963855421685,0.2252897590361445,0
2019-07-17,0.6145068706569446,0.7701632650615204,0.018943742824339846,0.01261724840747465,0.6069678822219216,0.12552784132338327,0.12738239244111288,385.0,84.18961038961041,122.64675324675324,0.2476974025974026,1
