,Price,TxGrowth,AddressCount,BlockTime,AvgGasPrice,NetworkHash,TransactionFee,BlockReward,count,likes_avg,retweets_avg,sentiment_avg
2019-01-01,142.66,0.3313450411216104,0.5924123116550954,0.1050516647531573,0.007519246847457179,0.5907343673075727,0.05074801654768608,0.3204621436531446,79.0,69.82278481012658,28.354430379746837,0.23973037974683545
2019-01-02,156.57,0.4364874855494116,0.5930753235748467,0.09644087256027555,0.006647911595285249,0.6111164826995282,0.0582250900446333,0.33584589814171006,137.0,65.62773722627738,78.12408759124088,0.26503357664233584
2019-01-03,149.44,0.4414268245930292,0.5938345906043028,0.1486796785304248,0.0057653086570516295,0.6124357050454048,0.055068105349358645,0.2906447342102506,157.0,122.44585987261145,50.05732484076433,0.3268350318471337
2019-01-04,156.04,0.4064102402486799,0.5945720152120624,0.15327210103329508,0.007376061560899654,0.609514190803494,0.060579794692249805,0.286783615426378,137.0,68.95620437956204,1200.5109489051097,0.1913554744525548
2019-01-05,156.23,0.3780770762316276,0.595331456893566,0.1423650975889781,0.018020068120909595,0.6266475163121394,0.08348534461933005,0.29413081370429284,102.0,161.66666666666666,76.13725490196079,0.2988833333333333
2019-01-06,158.61,0.36041602864089944,0.5961706490662813,0.14810562571756603,0.006567711699403537,0.6324554162855539,0.05023235518895611,0.2857477926258941,89.0,53.66292134831461,223.11235955056182,0.23141235955056175
2019-01-07,152.09,0.4075714780421501,0.5969576421082855,0.1446613088404133,0.009017192292997415,0.6429761374191629,0.05649270341956931,0.2947737382011449,160.0,65.825,86.3125,0.3218049999999999
2019-01-08,151.1,0.4093533774148889,0.5978215475457288,0.15154994259471866,0.006820299446721041,0.6250031040759436,0.052497766333901415,0.28472625703645144,173.0,80.35260115606937,186.2601156069364,0.2174809248554913
2019-01-09,151.17,0.41341696816087664,0.5986285819101893,0.14408725602755454,0.006656066337272541,0.6426824924011313,0.05016041508436566,0.2940450904380459,159.0,64.13836477987421,369.13207547169816,0.241806289308176
2019-01-10,127.96,0.43120778370425955,0.5993988629343939,0.15097588978185988,0.008628711931063873,0.6293812605595522,0.06141410855622174,0.287351532065264,162.0,87.6358024691358,432.82098765432096,0.28855617283950624
2019-01-11,127.16,0.40080426469399605,0.6003279463328315,0.15097588978185988,0.006769484669518892,0.6311192878623265,0.055613974151372154,0.2854763356161122,117.0,106.37606837606836,78.32478632478633,0.2568735042735043
