,Price,TxGrowth,AddressCount,BlockTime,AvgGasPrice,NetworkHash,TransactionFee,BlockReward,count,likes_avg,retweets_avg,sentiment_avg
2020-03-01,218.02,0.465066838,0.9681366990000001,0.012055109,0.003267383,0.608133654,0.058,0.12402966,302.0,52.57947019867549,447.51324503311264,0.06543013245033114
2020-03-02,232.09,0.504350934,0.969133012,0.009184845,0.0029393609999999997,0.603670728,0.0596,0.127632419,441.0,51.53514739229025,96.25623582766441,0.1235387755102041
2020-03-03,223.77,0.489477302,0.970487384,0.011481056000000002,0.003636533,0.609757629,0.0629,0.128851594,520.0,91.89807692307691,60.00192307692308,0.15307961538461548
2020-03-04,224.68,0.49136598200000003,0.971500006,0.006888634,0.003854292,0.617493965,0.0635,0.130239835,555.0,95.62162162162164,91.82882882882885,0.17813549549549546
2020-03-05,228.7,0.533001473,0.972420007,0.024110218,0.00450332,0.611891318,0.0732,0.118919601,466.0,107.568669527897,478.9420600858369,0.20412575107296133
2020-03-06,245.76,0.500882051,0.973593167,0.005740528000000001,0.004162803,0.602595825,0.0676,0.131185172,452.0,84.36725663716814,142.19026548672562,0.15696858407079647
2020-03-07,237.78,0.466914734,0.9744418229999999,0.006888634,0.003934254,0.612409677,0.0621,0.128522988,477.0,95.65199161425578,400.9433962264151,0.13995953878406708
2020-03-08,199.68,0.49032709700000005,0.9753915809999999,0.006314581,0.006123423,0.6281263029999999,0.115,0.130277934,465.0,57.972043010752685,208.33118279569888,0.13934602150537634
2020-03-09,203.08,0.580437963,0.976413634,0.018943743,0.007379636,0.614332177,0.127,0.12236996300000001,640.0,80.059375,412.3859375,0.10500390625
2020-03-10,200.62,0.563014206,0.977489567,0.011481056000000002,0.004513157,0.61576499,0.0794,0.127758622,543.0,90.02762430939227,782.1362799263353,0.16008876611418052
2020-03-11,194.86,0.52777442,0.978597418,0.008610791999999999,0.005967821,0.606400435,0.0993,0.128627761,632.0,72.94303797468355,485.1803797468354,0.09325648734177214
2020-03-12,109.78,0.563157321,0.97932814,0.013777268,0.075710629,0.614562234,0.872,0.126739468,821.0,96.44701583434835,1090.6065773447017,0.1095395858708891
2020-03-13,135.44,0.627793626,0.980481924,0.024110218,0.083067508,0.593118339,0.836,0.11871719900000001,908.0,85.99449339207048,1718.613436123348,0.08625638766519825
2020-03-14,122.58,0.504612695,0.98285514,0.011481056000000002,0.010020675,0.583517789,0.0991,0.12592509699999999,488.0,130.34426229508196,1703.0389344262296,0.09436803278688524
2020-03-15,123.53,0.486684696,0.985223978,0.009184845,0.007556072,0.587757897,0.0884,0.12800388599999998,779.0,108.2785622593068,936.3697047496789,0.07818125802310655
2020-03-16,111.32,0.580444637,0.9870989440000001,0.012629162,0.024020922000000004,0.590921648,0.248,0.125717932,669.0,169.31390134529147,1200.1748878923768,0.11074289985052316
2020-03-17,116.3,0.564876932,0.9890641179999999,0.009758898,0.012240093999999998,0.5744015929999999,0.129,0.12789197,881.0,74.81611804767309,251.77525539160047,0.1340320090805903
2020-03-18,118.62,0.568834484,0.990713347,0.007462687,0.008996409,0.589113194,0.10400000000000001,0.12965167800000002,844.0,129.22393364928908,787.8258293838862,0.09805284360189576
2020-03-19,136.7,0.639710032,0.99183136,0.012055109,0.011800836,0.5909024860000001,0.151,0.128739677,715.0,165.55664335664338,1270.6125874125873,0.12941104895104893
2020-03-20,133.4,0.608670279,0.993621685,0.019517796,0.009696389,0.5880647760000001,0.12300000000000001,0.125917953,751.0,79.74300932090546,1250.1225033288947,0.14323728362183755
2020-03-21,132.72,0.634879698,0.9958246479999999,0.013777268,0.0054640059999999996,0.608523272,0.0874,0.132680567,781.0,117.14468629961588,1083.9001280409732,0.10709871959026886
2020-03-22,122.44,0.552341348,0.997188037,0.036165327000000004,0.006029935,0.578340275,0.0845,0.122077075,743.0,66.36204576043069,513.5639300134591,0.0465764468371467
2020-03-23,136.74,0.5931574470000001,0.9988196579999999,0.011481056000000002,0.007663789,0.591896764,0.0999,0.134314071,735.0,107.6095238095238,342.5795918367347,0.07772598639455781
2020-03-24,136.77,0.586233029,1.0,0.026980482000000004,0.006829315,0.601344336,0.0949,0.125125013,733.0,99.09822646657572,1475.8690313778989,0.13232892223738066
